a,b,c,d,e,f,g,h,i,k
2596.0111,51.0111,3.0111,258.0111,0.0111,510.0111,221.0111,232.0111,148.0111,6279.0111
2590.0111,56.0111,2.0111,212.0111,-6.0111,390.0111,220.0111,235.0111,151.0111,6225.0111
2804.0111,139.0111,9.0111,268.0111,65.0111,3180.0111,234.0111,238.0111,135.0111,6121.0111
2785.0111,155.0111,18.0111,242.0111,118.0111,3090.0111,238.0111,238.0111,122.0111,6211.0111
2595.0111,45.0111,2.0111,153.0111,-1.0111,391.0111,220.0111,234.0111,150.0111,6172.0111
2579.0111,132.0111,6.0111,300.0111,-15.0111,67.0111,230.0111,237.0111,140.0111,6031.0111
2606.0111,45.0111,7.0111,270.0111,5.0111,633.0111,222.0111,225.0111,138.0111,6256.0111
2605.0111,49.0111,4.0111,234.0111,7.0111,573.0111,222.0111,230.0111,144.0111,6228.0111
2617.0111,45.0111,9.0111,240.0111,56.0111,666.0111,223.0111,221.0111,133.0111,6244.0111
2612.0111,59.0111,10.0111,247.0111,11.0111,636.0111,228.0111,219.0111,124.0111,6230.0111
2612.0111,201.0111,4.0111,180.0111,51.0111,735.0111,218.0111,243.0111,161.0111,6222.0111
2886.0111,151.0111,11.0111,371.0111,26.0111,5253.0111,234.0111,240.0111,136.0111,4051.0111
2742.0111,134.0111,22.0111,150.0111,69.0111,3215.0111,248.0111,224.0111,92.0111,6091.0111
2609.0111,214.0111,7.0111,150.0111,46.0111,771.0111,213.0111,247.0111,170.0111,6211.0111
2503.0111,157.0111,4.0111,67.0111,4.0111,674.0111,224.0111,240.0111,151.0111,5600.0111
2495.0111,51.0111,7.0111,42.0111,2.0111,752.0111,224.0111,225.0111,137.0111,5576.0111
2610.0111,259.0111,1.0111,120.0111,-1.0111,607.0111,216.0111,239.0111,161.0111,6096.0111
2517.0111,72.0111,7.0111,85.0111,6.0111,595.0111,228.0111,227.0111,133.0111,5607.0111
2504.0111,0.0111,4.0111,95.0111,5.0111,691.0111,214.0111,232.0111,156.0111,5572.0111
2503.0111,38.0111,5.0111,85.0111,10.0111,741.0111,220.0111,228.0111,144.0111,5555.0111
2501.0111,71.0111,9.0111,60.0111,8.0111,767.0111,230.0111,223.0111,126.0111,5547.0111
2880.0111,209.0111,17.0111,216.0111,30.0111,4986.0111,206.0111,253.0111,179.0111,4323.0111
2768.0111,114.0111,23.0111,192.0111,82.0111,3339.0111,252.0111,209.0111,71.0111,5972.0111
2511.0111,54.0111,8.0111,124.0111,0.0111,638.0111,225.0111,222.0111,130.0111,5569.0111
2507.0111,22.0111,9.0111,120.0111,14.0111,732.0111,215.0111,221.0111,143.0111,5534.0111
2492.0111,135.0111,6.0111,0.0111,0.0111,860.0111,229.0111,237.0111,142.0111,5494.0111
2489.0111,163.0111,10.0111,30.0111,-4.0111,849.0111,230.0111,243.0111,145.0111,5486.0111
2962.0111,148.0111,16.0111,323.0111,23.0111,5916.0111,240.0111,236.0111,120.0111,3395.0111
2811.0111,135.0111,1.0111,212.0111,30.0111,3670.0111,220.0111,238.0111,154.0111,5643.0111
2739.0111,117.0111,24.0111,127.0111,53.0111,3281.0111,253.0111,210.0111,71.0111,6033.0111
2703.0111,122.0111,30.0111,67.0111,27.0111,3191.0111,254.0111,201.0111,52.0111,6123.0111
2522.0111,105.0111,7.0111,120.0111,1.0111,595.0111,233.0111,231.0111,130.0111,5569.0111
2519.0111,102.0111,6.0111,124.0111,4.0111,616.0111,230.0111,233.0111,137.0111,5559.0111
2516.0111,23.0111,6.0111,150.0111,4.0111,658.0111,216.0111,227.0111,147.0111,5541.0111
2515.0111,41.0111,9.0111,162.0111,4.0111,680.0111,221.0111,220.0111,133.0111,5532.0111
2900.0111,45.0111,19.0111,242.0111,20.0111,5199.0111,221.0111,195.0111,100.0111,4115.0111
2709.0111,125.0111,28.0111,67.0111,23.0111,3224.0111,253.0111,207.0111,61.0111,6094.0111
2511.0111,92.0111,7.0111,182.0111,18.0111,722.0111,231.0111,229.0111,131.0111,5494.0111
2749.0111,98.0111,30.0111,124.0111,53.0111,3316.0111,252.0111,183.0111,36.0111,6005.0111
2686.0111,354.0111,12.0111,0.0111,0.0111,3167.0111,200.0111,219.0111,157.0111,6155.0111
2699.0111,347.0111,3.0111,0.0111,0.0111,2096.0111,213.0111,234.0111,159.0111,6853.0111
2570.0111,346.0111,2.0111,0.0111,0.0111,331.0111,215.0111,235.0111,158.0111,5745.0111
2533.0111,71.0111,9.0111,150.0111,-3.0111,577.0111,230.0111,223.0111,126.0111,5552.0111
2703.0111,330.0111,27.0111,30.0111,17.0111,3141.0111,146.0111,197.0111,184.0111,6186.0111
2678.0111,128.0111,5.0111,95.0111,23.0111,1660.0111,229.0111,236.0111,141.0111,6546.0111
2529.0111,68.0111,8.0111,210.0111,-5.0111,666.0111,228.0111,225.0111,130.0111,5484.0111
2524.0111,94.0111,7.0111,212.0111,-4.0111,684.0111,232.0111,229.0111,130.0111,5474.0111
2536.0111,99.0111,6.0111,234.0111,0.0111,659.0111,230.0111,232.0111,136.0111,5475.0111
2498.0111,66.0111,6.0111,95.0111,7.0111,900.0111,227.0111,227.0111,135.0111,5357.0111
2489.0111,100.0111,7.0111,85.0111,13.0111,810.0111,232.0111,231.0111,131.0111,5334.0111
2713.0111,117.0111,30.0111,60.0111,17.0111,3297.0111,254.0111,198.0111,48.0111,6039.0111
2739.0111,323.0111,25.0111,85.0111,43.0111,3118.0111,149.0111,205.0111,192.0111,6219.0111
2696.0111,72.0111,2.0111,30.0111,0.0111,3271.0111,222.0111,234.0111,149.0111,6071.0111
2510.0111,79.0111,14.0111,192.0111,19.0111,891.0111,237.0111,215.0111,106.0111,5325.0111
2502.0111,81.0111,7.0111,175.0111,11.0111,912.0111,230.0111,227.0111,129.0111,5316.0111
2722.0111,315.0111,24.0111,30.0111,19.0111,3216.0111,148.0111,212.0111,200.0111,6132.0111
2500.0111,74.0111,11.0111,190.0111,9.0111,930.0111,233.0111,219.0111,116.0111,5279.0111
2486.0111,68.0111,5.0111,180.0111,-4.0111,870.0111,225.0111,230.0111,139.0111,5262.0111
2489.0111,11.0111,4.0111,175.0111,13.0111,840.0111,216.0111,232.0111,153.0111,5254.0111
2489.0111,42.0111,6.0111,162.0111,13.0111,810.0111,221.0111,227.0111,141.0111,5247.0111
2490.0111,75.0111,5.0111,134.0111,17.0111,810.0111,227.0111,230.0111,137.0111,5218.0111
2952.0111,107.0111,11.0111,42.0111,7.0111,5845.0111,239.0111,226.0111,116.0111,3509.0111
2705.0111,90.0111,8.0111,134.0111,22.0111,2023.0111,232.0111,228.0111,129.0111,6615.0111
2507.0111,40.0111,7.0111,153.0111,10.0111,930.0111,221.0111,224.0111,138.0111,5221.0111
2500.0111,49.0111,14.0111,150.0111,27.0111,870.0111,225.0111,210.0111,116.0111,5205.0111
2493.0111,63.0111,10.0111,127.0111,20.0111,840.0111,229.0111,221.0111,124.0111,5197.0111
2509.0111,59.0111,7.0111,134.0111,10.0111,900.0111,226.0111,226.0111,134.0111,5184.0111
2919.0111,13.0111,13.0111,90.0111,6.0111,5321.0111,207.0111,214.0111,142.0111,4060.0111
2740.0111,54.0111,6.0111,218.0111,42.0111,2287.0111,224.0111,227.0111,138.0111,6686.0111
2640.0111,80.0111,8.0111,180.0111,-2.0111,1092.0111,231.0111,225.0111,127.0111,5866.0111
2843.0111,166.0111,12.0111,242.0111,53.0111,4434.0111,230.0111,244.0111,144.0111,4956.0111
3008.0111,45.0111,14.0111,277.0111,10.0111,6371.0111,223.0111,208.0111,116.0111,3036.0111
2893.0111,114.0111,16.0111,108.0111,30.0111,5066.0111,245.0111,223.0111,102.0111,4340.0111
